,responses_tc,responses_tm,responses_ti,base_response,real_response
0,Red,Blue,The text does not provide information about the color of the gym shoes.,White,white
1,AB-1234,SV-6260,The text does not provide a license number.,SV-6260,sv-6260
2,Yes.,Yes.,The text does not provide information about a dog or a collar.,Yes.,no
3,Red,Blue,The text does not provide information about the color of a lamp.,Blue,blue
4,No.,No.,No.,No.,no
5,Reading a book.,Looking outside.,The text does not provide information about a woman in the room.,Looking out the window.,cleaning
6,Red,Yellow,The text does not provide information about the color of the birds' tails.,Yellow,yellow
7,Three.,One.,The text does not provide information about paper towel rolls.,One.,1
8,Soccer,Baseball,The text does not specify a sport being played.,Baseball,baseball
9,Lemons,Corn,Corn.,Corn,corn
10,Turn the red handle.,Turn the blue handle.,The text does not provide information on how to turn on the cold water.,Turn the faucet handle to the right.,with handle
11,A blue chair.,Couch,The text does not specify what he is sitting on.,He is standing on a Wii Balance Board.,chair
12,Green.,Red,The text does not provide information about the color of the car on the far right.,Red,red
13,Sunset,Cupcake,The text does not mention a brand of wine.,Cupcake,cupcake
14,No.,Yes.,The text does not provide information about a bear.,Yes.,yes
15,No.,Yes.,No.,Yes.,yes
16,A metal chair.,A wooden bench.,The text does not provide this information.,Bench.,bench
17,Yes.,No.,No.,No.,no
18,The coaches.,The umpires.,"The text does not provide information about ""the men in black.""",I don't know.,umpires
19,Sunny.,Overcast,Sunny,Overcast.,overcast
20,No.,Yes.,Unknown,Yes.,yes
21,On top of a blue laptop.,On top of a red laptop.,The text does not provide information about a black laptop.,On top of the red laptop.,under phone
22,Blue,Orange,The text does not provide information about the color of the man's jacket.,Orange,orange
23,Spinach leaves.,Basil leaves.,The text does not mention a leafy substance.,Basil,basil
24,MS 123 XY,MS 815 AJ,The text does not provide information about what is written on the boat.,MS 815 AJ,e-820 cr ms 815 aj
25,No.,Yes.,The text does not provide information about whether the player is right-handed.,Yes.,yes
26,A blue scarf.,A brown polka dot tie.,The text does not provide information about a baby or anything around a baby's neck.,A polka dot tie.,tie
27,A blue book.,A camera.,Not specified.,A camera.,camera
28,No.,Yes.,The text does not provide information about an image.,Yes.,yes
29,A blue balloon.,A baseball glove.,The text does not provide information about a boy or what is on his hand.,A baseball glove.,glove
30,Yes.,No.,Unknown,No.,no
31,No.,Yes.,Unrelated question.,Yes.,yes
32,No.,Unknown,No.,I don't know.,no
33,A red boat.,There is no bridge archway present.,The text does not mention anything traveling under a bridge archway.,A boat.,water
34,Kitchen,Waiting area,This text does not refer to a room in a house.,Living room.,living room
35,Six.,Four.,The text does not provide information about the number of people on the field.,5,3
36,No.,Yes.,No.,Yes.,yes
37,No.,Yes.,The text does not provide information about a photograph.,Yes.,yes
38,Red,White,The text does not provide information about the color of a person's shirt.,White,white
39,Kitchen.,Bathroom,The text does not provide enough information to determine the kind of room pictured.,Bathroom,bathroom
40,18,0,18 toes,Five,4
41,Green,Purple,The text does not provide information about the color of the bear's apron.,Purple,pink
42,No.,Yes.,The text does not provide information about a balcony under the clock.,Yes.,yes
43,A painting and a clock.,A lamp and a mirror.,The text does not provide information about what is hanging on the wall.,A wall lamp.,lamp
44,A red wall.,Blue sky.,The reflection is of Team TNA finishing in second place in the 2008 TNA World X Cup Tournament.,A landscape.,outside
45,The text does not specify the number of buses.,One bus.,The text does not provide information about buses.,One.,1
46,A bright blue color with a shiny texture.,A light brown color with a crispy texture.,The text does not provide information about a burger bun.,Onion and mustard.,chicken patty
47,Playing with a ball of yarn.,Reaching into a cup with its paw.,The text does not provide information about a cat.,The cat is reaching into a cup.,drinking
48,No.,Yes.,Unknown,Yes.,yes
49,The text does not provide the age of the girl.,The text does not specify the girl's age.,Unknown,I don't know.,3
50,No.,Yes.,Yes.,No.,no
51,Floral pattern,Geometric pattern,The text does not provide information about any pattern on linens.,Geometric pattern.,triangles
52,None.,The text does not specify the number of bananas.,The text does not provide information about bananas or oranges.,There are 14 bananas.,19
53,No.,Yes.,The text does not provide information about clouds.,Yes.,yes
54,Blue Tram Co.,Polperro Tram Co.,The text does not provide information about a trolley or the company operating it.,Polperro Tram Co.,polperro tram co
55,None.,Three.,The text does not provide information about elephants.,Three.,3
56,Yes.,No.,No.,No.,no
57,A red necklace.,A scarf.,The text does not provide information about what is around the woman's neck.,A scarf.,scarf
58,Blue.,Orange.,The Cut River Bridge.,Plastic mesh fencing.,fence
59,Yes.,No.,Unknown,No.,no
60,0,Three.,The text does not provide information about the number of brown teddy bears.,Three.,3
61,No.,Yes.,The text does not provide information about goggles or eyes.,Yes.,yes
62,Blue,White,The text does not provide information about the color of the refrigerator.,White,white
63,Red,Blue,The text does not provide information about the color of the table top.,Green,green
64,Blue and green,Black and white.,The text does not provide information about the color of the zebra.,Black and white.,black and white
65,Because it is being cast on a wall.,Part of the shadow falls on a raised surface while the other part is on a lower surface.,The text does not provide information about a shadow being cut in half.,The shadow is cut in half because part of it falls on a different surface level.,concave
66,Mountain biking,Snowboarding,Mixing,Snowboarding,snowboarding
67,Yes.,No.,No.,No.,no
68,Yes.,No.,Yes.,Yes.,no
69,Backhand shot.,Forehand shot.,Casino Royale,Serve,tennis ball
70,"Red, black, silver","Green, white, yellow",The text does not provide information about the colors of the train.,Green and white.,white and blue
71,No.,Yes.,No.,Yes.,yes
72,No.,Uncertain,No.,Yes.,yes
73,A blue frisbee.,A baseball.,The text does not provide information about a man catching anything.,A baseball.,baseball
74,No.,No.,The text does not provide information about elephants taking a bath or playing.,Playing.,playing
75,The text does not specify the number of girls.,Several girls.,The text does not provide information about the number of girls on the advertisement.,Three.,7
76,Refrigerator door.,Oven,The text does not provide information about any storage being open.,The oven is open.,oven
77,Green,Orange,The text does not provide information about the color of the man's shirt.,Orange,orange
78,Play a basketball game.,Preparing for a tennis match.,Face Wales on 22 December.,Play tennis.,play tennis
79,Blue,Gray,The text does not provide this information.,Gray,gray
80,Yes.,No.,Yes.,No.,no
81,Green beans.,Broccoli,The text does not provide information about green food on a plate.,Broccoli with cheese.,broccoli
82,Yes.,No.,The text does not provide information about cows.,No.,no
83,Yes.,No.,No.,Yes.,no
84,Twelve birds.,Six birds.,The text does not provide information about birds.,Six birds.,6
85,Curtains.,Shutters,The text does not provide information about rectangular white items in front of the windows.,Shutters,blinds
86,Blue,Green,The text does not provide information about the color of the man's necktie.,Green,green
87,The text does not provide information on why the men in suits are overweight.,The text does not provide information on the weight of the men in suits.,The text does not provide information about why men in suits are overweight.,I can't determine the reasons for their appearance.,no longer active
88,Several apples.,Several bananas.,The text does not provide information about fruits on a plate.,Six.,6
89,Yes.,No.,The text does not provide information about an elephant.,No.,no
90,No.,Yes.,The text does not provide information about a train engine.,Yes.,yes
91,A bicycle.,Skateboard,The text does not provide information about what the person is riding.,Skateboard,skateboard
92,The woman in the blue dress is preparing to cut it.,The woman in the foreground is preparing to cut the cake.,The text does not provide information about women or a cake.,I don't know.,not their birthday
93,Blue bricks.,Woven reeds or bamboo.,The text does not specify the material of the walls.,Bamboo,bamboo
94,Yes.,No.,The text does not provide information about a herd of zebras or their migration.,No.,no
95,The wind is blowing towards the red section of the umbrella.,The wind is blowing towards the blue section of the umbrella.,The text does not provide information about the wind direction.,From right to left.,east
96,Blue.,Not visible.,Green,Green,green
97,Yes.,No.,The text does not provide information about spectators or their state of boredom.,Yes.,yes
98,No.,Yes.,No.,Yes.,yes
99,Yes.,No.,The question is unrelated to the text provided.,No.,no
100,Three.,Three.,None.,Three.,4
101,Red,Blue,The text does not provide information about the color of the vase on the table.,Clear,clear
102,One book.,Several books.,The text does not provide information about any books.,Five.,1
103,No.,Yes.,No.,Yes.,yes
104,Blue smooth floor.,Yellow with a smooth surface.,The text does not provide information about the type of floor in the picture.,Wooden floor.,wood
105,A blue umbrella.,A surfboard with a red edge.,The text does not provide information about what the person is carrying.,A surfboard.,surfboard
106,123456,158872,The text does not provide information about numbers on the front of a train.,158872,58872
107,Tulips,Roses,The text does not provide information about a flower in a vase.,Roses,rose
108,Blue jeans,Corduroy pants.,The text does not provide information about pants.,Corduroy pants.,corduroy
109,Yes.,No.,The text does not provide information about a child or their clothing.,No.,yes
110,Yes.,No.,The text does not provide information about a picture.,No.,no
111,One laptop.,Three.,The text does not provide information about laptops or a man using them.,Three.,3
112,Blue,White,The text does not provide information about the color of the bear.,White,white
113,Yes.,No.,The text does not provide information about a giraffe.,No.,no
114,No.,Yes.,The text does not provide information about a skier.,Yes.,yes
115,Yes.,No.,No.,No.,no
116,Blue,White.,The text does not provide information about the color of the computers.,White,white
117,Shopping mall,Aircraft hangar,Freeway,Hangar.,hanger
118,20 mph,50 mph,The text does not provide information about the speed limit of the exit.,20,20
119,No.,Yes.,Not applicable.,Yes.,yes
120,Blue,Black,The text does not provide information about the color of the skateboard.,Black,black
121,"A blue and white sign with the word ""VIESSMANN"".","A red and white sign with the word ""VIESSMANN"".",The text does not provide this information.,"A sign with the word ""VIESSMANN.""",sign
122,Yes.,No.,The question is unrelated to the text provided.,No.,no
123,A blue ceramic vase with a handle.,A clear glass jar with a handle.,Reign in Blood,A glass pitcher.,jar
124,No.,No.,The text does not provide information about a bus or its color.,No.,no
125,A truck.,A truck.,A Strela-2 launcher and a heat-seeking missile.,"Cow, hay bales, barrels, trash.",truck
126,Yes.,No.,No.,No.,no
127,Yes.,No.,The text does not provide enough information to determine if the female is an adult.,No.,no
128,Bright blue,Reddish-brown.,The text does not provide information about the color of the field.,Orange,orange
129,Fabric,Fabric,Wood,Fabric,wood
130,Cutting the crumpled paper.,Cutting the crumpled paper.,The text does not provide information about a scissor.,Cutting paper.,cutting
131,Unknown,Unknown,No.,I don't know.,yes
132,A red balloon.,A blue fork.,The text does not provide information about a child or what they might be holding.,A spoon.,fork
133,Rays,Rays,The text does not provide information about a team or a person named Crawford.,Rays,rays
134,Blue,White,The text does not provide information about the color of the cat's whiskers.,White,white
135,Uncertain,No.,The text does not provide information about a girl or drowning.,I can't determine that from the image.,no
136,Yes.,No.,No.,No.,no
137,Red characters.,Blue characters.,The text does not provide information about characters on a building.,Tamil characters,letters
138,The text does not provide information on the number of tires.,Four tires.,The text does not provide information about a truck or the number of tires on it.,Six.,6
139,Red wine.,White wine.,The text does not provide this information.,White wine.,white
140,France,Australia,United States,Australia,australia
141,3700 block,5100 block,The text does not provide information about a block of Edloe.,5100,5100
142,No.,Yes.,No.,Yes.,yes
143,The text does not specify whose room it is.,The text does not specify whose room it is.,The question is not answerable based on the provided text.,I don't know.,bathroom
144,Parent-offspring relationship.,Siblings,The text does not provide information about zebras.,Mother and calf.,yes
145,Red,Blue,The text does not provide information about the color of an umbrella.,Red,white
146,Yes.,Yes.,The text does not provide information about a girl wearing a tie.,Yes.,yes
147,Blue,White.,The text does not provide information about hair color.,White,white
148,Yes.,Unknown,Not enough information.,I don't know.,no
149,Three.,One.,The text does not provide information about any babies.,One.,1
150,Blue,White,Not specified.,White,white
151,Red,Blue,The text does not provide information about the color of his shoes.,Black,black
152,The text does not provide information about blue dots.,Several,The text does not provide information about the number of blue dots on the kite.,Four.,20
153,Unknown,Unknown,The text does not provide information about a team or a competition.,I can't determine the outcome of the match from this image.,blue
154,Not applicable.,The text does not provide information on the height of the jump.,The text does not provide information about how high he is jumping.,Approximately 2 feet.,very high
155,Insufficient information.,Unknown,Not enough information provided.,I don't know.,no
156,Blue,Gray,The text does not provide information about the color of the road.,Gray,gray
157,Yes.,No.,Unknown,No.,no
158,A person wearing a blue shirt.,No one.,The text does not provide information about who is in the toilet.,I don't know.,no one
159,Beach,United States,The text does not provide information about a photo or its location.,I don't know.,rodeo
160,Yes.,No.,Not applicable.,No.,yes
161,No.,Yes.,The question is unrelated to the text provided.,Yes.,yes
162,Berry,Apples,This is not a question about a type of fruit.,Apples.,apple
163,Yes.,No.,Not applicable.,No.,no
164,Red,Blue,The text does not provide information about the color of the cafe's umbrellas.,Green,green
165,Pie,Cake,The text does not describe a dessert.,Cake with berries.,cake
166,None.,The text does not specify the number of sheep.,The text does not provide information about the number of sheep.,Fifteen.,15
167,Red,Blue,The text does not provide information about the color of the surfboards.,White,white
168,Red with white soles.,Black with white soles.,The text does not provide information about the color of the woman's shoes.,Black,black
169,A sandy beach.,A surfboard.,The text does not provide information about a woman or what she is standing on.,Surfboard,surfboard
170,Red,Blue,The text does not provide information about the color of the pillow.,Green,green
171,Yes.,No.,The text does not provide information about a doughnut or cherry frosting.,No.,no
172,Basketball,Tennis,The text does not specify a game that the man is playing.,Tennis,tennis
173,Yes.,Unknown,No.,Unknown.,no
174,Three.,One.,The text does not mention any teddy bears.,One.,3
175,Three.,One.,None.,One.,1
176,Unknown,Unknown,The text does not provide information about a person surfing.,I don't know.,man
177,Yes.,No.,No.,No.,yes
178,Plastic,Wood,The text does not provide information about the material of a basket.,Wood,wood
179,15,42,The text does not provide information about a photo or the number of children in it.,42,38
180,Red,Blue,The text does not provide information about the color of the backpack.,Red,red
181,Dolphins,Elephants,The text does not provide information about an animal.,Elephants,elephant
182,Yes.,No.,Not applicable.,No.,no
183,A person.,No one.,The text does not provide information about who is using the toilet.,I don't know who is using the toilet.,no one
184,Yes.,No.,The text does not provide information about wine.,No.,no
185,One.,Two.,The text does not provide information about laptops.,Two.,2
186,Yes.,Yes.,No.,Yes.,yes
187,Two.,Four.,15,Four.,4
188,Yes.,No.,Not applicable.,No.,no
189,A modern blue sink with a faucet and a soap dispenser.,Squat toilet.,The Modern Ocean,Squat toilet.,scale
190,Two.,One sign.,The text does not provide information about the number of signs in a picture.,One.,1
191,One.,The text does not specify the number of different kinds of cupcakes.,The text does not provide information about cupcakes.,Five,2
192,4am,4pm,The text does not provide information about a picture or the time depicted in it.,4pm,pm
193,Yes.,No.,The text does not provide information about a skier.,No.,no
194,Red,Blue,The text does not provide information about the color scheme of the photo.,"Blue, white, and green.",white and blue
195,Chocolate bar,Banana,The text does not provide information about which food contains the most potassium.,Banana,banana
196,GARDEN OF ROSES,PIRATE OF WALES,The text does not provide information about what is written on the cup.,PIRATE OF WALES RULER OF THE SEA,pirate
197,Yes.,No.,The text does not provide information about ducks in the water.,No.,no
198,It is not safe to walk.,It is safe to walk.,The text does not provide information about a sign.,Green pedestrian crossing signal.,walk
199,Multiple trains,One train.,The text does not provide information about trains.,One.,1
200,Five.,Two.,The text does not provide information about zebras.,Three.,1
201,Red,Black,The text does not provide information about the color of the girl's pants.,Black,black
202,Preparing for a race.,The boats are not in motion.,The text does not provide information about sailboats or their sails.,The sailboats are anchored.,no wind
203,The cat.,The dog.,The text does not provide information about who wants to play.,The dog with the frisbee.,dog
204,No.,Yes.,The text does not provide information about a spoon.,Yes.,yes
205,Unknown,Yes.,The text does not provide information about a boat.,Yes.,yes
206,We don't know.,The stop sign is on the side of the road.,The text does not provide information about a picture being taken from the road.,Stop sign.,stop sign
207,Yes.,No.,The text does not provide information about a child or their direction.,No.,no
208,No.,Yes.,The text does not provide enough information to determine if they are wearing backpacks.,Yes.,yes
209,No.,Yes.,No.,Yes.,yes
210,It is parked.,It is parked and partially covered in snow.,The text does not mention a brown truck.,The brown truck is being cleared of snow.,getting cleaned
211,None,07.07.2013 13:20,The text does not provide any numbers in orange at the bottom.,08,0
212,Five,Two.,The text does not provide information about birds.,Three.,3
213,No.,Yes.,The text does not provide information about trains or their directions.,No.,no
214,A blue pond.,Truck,Hotel bar,A truck.,truck
215,Green,Blue,The text does not specify the color of the walls in the room.,Light blue,green
216,Horizontal stripes,Horizontal stripes,The text does not provide information about a person's shirt pattern.,Striped,stripes
217,"Blueberries, strawberries, bananas, whipped cream.","Cherry tomatoes, olives, mushrooms, cheese.",The text does not provide information about food or its toppings.,"Cherry tomatoes, olives, mushrooms, cheese.","tomato, cheese, onion"
218,Yes.,No.,The text does not provide information about a plane flying.,No.,no
219,Orange,Blue-gray.,The text does not provide information about a cat.,Gray,black
220,Green,Blue,The text does not provide information about the color of the clock.,Blue,black
221,Floral patterns,Striped pattern.,U.S. Highway 11,Chocolate drizzle.,drizzle
222,Under ripe,Overripe.,The text does not provide information about the ripeness of a banana.,Overripe.,overripe
223,Blue,Yellow,The text does not provide information about the color of a helmet.,Yellow,yellow
224,A person in a blue dress.,A person in a red dress.,The text does not provide information about anyone being barefooted.,I don't know.,girl
225,No.,Yes.,The text does not provide information about a van's passenger door.,Yes.,yes
226,Red,Green,The text does not provide information about the color of a traffic light.,Green,green
227,Kitchen,Living room.,Ethnic Studies Department of the University of Colorado,Living room.,living room
228,Yes.,No.,The text does not provide information to answer the question.,No.,no
229,Full color,Black and white.,The text does not provide information about a photo or its color.,Black and white.,black and white
230,Spoon,Fork and knife.,The text does not provide information about silverware on a table.,Fork and knife.,fork and knife
231,No.,Yes.,The text does not provide information about a horse.,Yes.,yes
232,Yes.,No.,Yes.,Yes.,yes
233,No.,Yes.,Yes.,Yes.,yes
234,The text does not specify the number of people.,The text does not specify the number of people.,The text does not provide information about the number of people standing in front of the slope.,Seven,6
235,Blue,Red,The text does not provide information about the color of her coat.,Red,red
236,A red garment and a headscarf.,A white garment and a headscarf.,The text does not provide information about what the man on the right is wearing.,A white garment and a head covering.,hat
237,On the toilet seat lid.,On the toilet seat lid.,There is no smiley face in the text.,On the toilet seat lid.,toilet lid
238,Stars and stripes.,Smiley faces and letters.,The text does not provide information about designs on a man's wrist.,Smiley faces.,hearts
239,Three.,One.,The text does not provide information about any trains.,One.,1
240,Yes.,The text does not provide enough information to determine if there are trees at the back.,The text does not provide information about trees.,No.,no
241,Three.,Six.,The text does not provide information about people.,Seven,6
242,Yes.,No.,The text does not provide information about a curtain or its pattern.,No.,no
243,No.,Yes.,The text does not provide enough information to determine if a picture is right side up.,Yes.,no
244,Yes.,No.,No.,No.,no
245,Blue,Red,The text does not provide information about the color of the flag.,Red and white.,red
246,Ground beef,None,The text does not provide information about the type of meat in the chili.,Unknown,beef
247,Yes.,No.,No.,No.,no
248,Bright blue.,Light yellow.,The text does not provide information about the color of the walls.,Yellow,yellow
249,Whale,Horse.,The text does not provide information about an animal shown in a city.,Horse,horse
250,Yes.,No.,The text does not provide information about wine glasses.,No.,no
251,No.,Yes.,No.,Yes.,yes
252,Blue-colored dough.,Wheat-based dough,The text does not provide information about what the dough is made of.,Pita bread,flour
253,Collaborative painting activity.,Engaged in a digital activity or social media interaction.,They are acting in a film.,Dancing.,dancing
254,Unknown,Unknown,No.,I don't know.,no
255,No.,Yes.,The text does not provide information about a laptop.,Yes.,yes
256,Bird,Cat,Not applicable.,Cat.,cat
257,Yes.,No.,The text does not provide information about a woman's happiness.,No.,no
258,Unknown,None,Not applicable.,Rose,rose
259,The text does not provide information about the breeze on the cheek.,Gentle and refreshing.,The text does not provide information about the sensation of a breeze on the cheek.,Warm and gentle.,warm
260,No.,Unknown,No.,I don't know.,yes
261,Coffee tasting event.,Wine tasting event.,A long-running rivalry between Tikal and Calakmul.,Wine tasting event.,wine tasting
262,A book.,A book.,The text does not provide information about what the woman is reading.,I don't know.,book
263,theVillager,theVillager,The text does not provide information about a bus or what it says on the side.,theVillager,villager
264,Horizontally.,Diagonally.,The text does not provide information about how a sandwich is cut in half.,Diagonally.,with knife
265,BLUE,JORDAN,The text does not provide information about what the sign says.,JORDAN,jordan
266,A large bunch of blue balloons.,A large bunch of green bananas.,The text does not provide information about what the man is hauling.,Bananas.,bananas
267,No.,Yes.,The text does not provide information about water clarity.,Yes.,yes
268,Red,Blue,The text does not provide information about the most popular surfboard color.,Blue,blue
269,Unknown,Yes.,No.,Yes.,yes
270,3/4 mile away,The text does not provide information about the distance to a pay toll.,The text does not provide information about the pay toll.,1 mile,1 mile
271,Yes.,No.,The text does not provide information about the sun rising.,Yes.,no
272,Hay,Grass,The text does not provide information about animals or what they are eating.,Grass.,grass
273,None,Two.,The text does not provide information about the number of sheep.,Two.,2
274,Bird,Sheep,Not applicable.,Sheep,sheep
275,Reading a book.,Playing a game.,The text does not provide information about what the girl is doing.,Playing a video game.,playing game
276,A blue book.,A white game controller.,The text does not provide information about a woman or what is in her hand.,A Wii remote.,wii remote
277,No.,Yes.,Not applicable.,Yes.,yes
278,Yes.,No.,The text does not provide information about a photo or its location.,No.,no
279,Sunglasses,A mask.,The text does not provide information about what Dan Shea has on his face.,A mask.,mask
280,Grass,Snow,The text does not provide information about what is covering the ground.,Snow,snow
281,bird,Dog,The text does not provide information about an animal-shaped cake.,Dog,dog
282,50,30,The text does not provide information about a player's number.,44,44
283,No.,Yes.,No.,Yes.,yes
284,Yes.,Yes.,No.,Yes.,no
285,Fresh blue flowers with large petals and green leaves.,"Dried branches with round, translucent seed pods and a decorative feather.",The text does not provide information about a vase.,Dried honesty plant (Lunaria) and a feather.,flowers
286,A blue book.,A white gaming controller.,The text does not provide information about what she is holding.,Wii controllers,wii remote
287,No danger indicated.,Potential hazards from debris and equipment.,The text does not provide information about the danger to a person climbing a fence.,Injury from sharp edges or falling.,spikes
288,Slices of cake with red icing on top.,Slices of cake with blue icing.,The text does not provide information about what's on the white plates.,Cake slices.,cake
289,No.,Yes.,The text does not provide information about the decor.,Yes.,yes
290,Holding a glass of water.,Shaking hands.,The text does not provide information about a person on the left or their hand.,Shaking hands.,shaking
291,Plant,Pom-poms.,The text does not provide information about an item hanging from a clock.,Pomander balls.,decoration
292,Even point.,Odd point.,The text does not provide information about a woman serving for a point.,Even point.,odd
293,Right hand.,Left hand.,Left,Left,left
294,Blue and green.,"The horse on the left is black, and the horse on the right is white.",The text does not provide information about the color of a horse.,Black,white
295,A bird.,A cat.,The text does not provide information about anything sitting on the hood of a car.,A cat.,cat
296,Blue,Orange,Not specified.,Orange,orange
297,Because they are blue and help them fly.,"Digging, lifting objects, gathering food, and defense.",The text does not provide information about why elephants have tusks.,"Defense, digging, lifting objects, gathering food, stripping bark, and social interactions.",it's adult
298,Yes.,No.,The text does not provide information to answer the question.,No.,no
299,Cold.,Hot,The text does not provide information about the temperature.,Hot.,hot
300,Yes.,No.,Not applicable.,No.,no
301,Red,Green,The text does not provide information about the color of plants in the window.,Green,green
302,The text does not specify what the sign says.,The text on the sign is not clearly visible.,da boat da tide @-@ lumps,Piste,no sign
303,Green,Red,The text does not specify the color of the man's hat.,Red,red
304,One.,None.,The text does not provide information about frogs or birds.,0,0
305,No.,Yes.,No.,Yes.,yes
306,Yes.,No.,No.,No.,no
307,Yes.,Unknown,The text does not provide information to answer this question.,I don't know.,no
308,A large rock.,Bear,<unk>,Bear,bear
309,Bicycles,Motorcycles.,Genocide inflicted on the indigenous people of the Americas by European settlers.,Motorcycles,motorcycle
310,"Sitting on benches, reading newspapers.","Standing inside a train, facing towards the doors.",The text does not provide information about a picture or people in the background.,Boarding a train.,standing
311,No.,No.,No.,No.,yes
312,Green.,Purple.,The text does not provide information about the color of the wall.,Purple,purple
313,The text does not specify the color of the dog.,The text does not specify the color of the dog.,The text does not provide information about the color of the dog.,Tan,brown
314,Yes.,No.,Not applicable.,No.,no
315,Yes.,No.,The text does not provide information about a bear wearing shoes.,No.,no
316,Sitting on a bench.,Jumping in the air with a joyful expression.,The text does not provide information about what a man is doing.,Jumping.,jumping
317,Rug,Couch,The text does not provide information about any plaid item in the room.,Sofa,couch
318,Yes.,No.,Yes.,No.,no
319,Basketball,Skateboarding,None,Ripstik riding,skateboarding
320,A bed.,A bed.,The text does not provide information about a model kneeling on anything.,A bed.,bed
